"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
1.944,0.0735,22.51,123.92,1.802,2.09,2.71,11.16,8.934,0.726,26.521
1.912,0.0711,26.98,121.86,1.776,2.05,2.64,12.49,7.169,0.305,4.044
1.979,0.0396,26.87,349.58,1.901,2.06,2.78,12.49,4.605,1.000,3.588
1.933,0.0946,17.90,77.98,1.750,2.12,2.69,12.14,6.692,0.384,3.03784
1.854,0.0447,22.83,340.49,1.771,1.94,2.52,12.99,4.276,0.582,5.9466
1.897,0.0280,23.67,254.66,1.844,1.95,2.61,12.55,6.573,0.409,4.4121
1.866,0.0321,22.32,267.86,1.806,1.93,2.55,12.59,8.17,0.2327,3.25283
1.849,0.0377,21.17,50.76,1.779,1.92,2.51,12.65,7.413,0.321,3.2011
1.964,0.0483,23.11,243.58,1.869,2.06,2.75,15.09,,,45.63
1.936,0.0952,19.34,100.04,1.751,2.12,2.69,13.64,3.276,0.686,67.4
1.93,0.1058,22.80,316.95,1.726,2.13,2.68,14.13,2.854,0.466,4.048
1.933,0.0985,22.68,217.66,1.743,2.12,2.69,13.04,3.975,0.810,5.487
1.872,0.0033,25.28,310.09,1.866,1.88,2.56,14.10,3.131,0.544,2.497
1.954,0.0422,23.76,105.42,1.871,2.04,2.73,13.65,2.613,1.000,3.677
1.949,0.0843,24.42,142.02,1.785,2.11,2.72,15.14,2.457,0.168,8.91
1.872,0.0511,18.45,228.89,1.777,1.97,2.56,13.16,3.767,0.613,2.6717
1.887,0.1113,33.99,38.56,1.677,2.10,2.59,12.69,8.252,0.244,2.5678
1.913,0.0575,25.32,235.67,1.803,2.02,2.65,13.30,6.059,0.220,6.131
1.867,0.0899,24.33,278.12,1.699,2.03,2.55,13.73,5.328,0.165,8.183
1.878,0.0541,22.87,357.87,1.776,1.98,2.57,13.54,3.259,0.561,4.0852
1.917,0.1026,21.13,136.40,1.721,2.11,2.66,15.28,1.696,0.614,6.645
1.857,0.0549,23.06,59.80,1.755,1.96,2.53,14.52,3.529,0.292,159
1.931,0.1038,23.52,247.46,1.731,2.13,2.68,14.17,,,10.33
1.926,0.1067,21.79,31.87,1.721,2.13,2.67,13.78,5.040,0.252,105.7
1.936,0.0266,19.01,281.30,1.884,1.99,2.69,13.49,,,5.18
1.979,0.0462,28.56,208.64,1.887,2.07,2.78,14.12,,,5.268
1.892,0.0671,24.90,32.88,1.765,2.02,2.6,12.74,4.662,0.960,6.503
1.88,0.0529,25.06,138.00,1.780,1.98,2.58,13.29,6.235,0.287,2.3717
1.909,0.1100,26.38,255.96,1.699,2.12,2.64,12.97,7.592,0.255,10.757
1.817,0.0531,21.13,218.48,1.721,1.91,2.45,13.78,5.038,0.408,2.5041
1.863,0.0848,21.81,34.86,1.705,2.02,2.54,13.74,10.528,0.049,202
1.935,0.0991,20.23,253.67,1.743,2.13,2.69,15.83,,,
1.991,0.0290,20.72,164.85,1.933,2.05,2.81,12.38,5.995,0.779,59.8
1.933,0.1248,23.61,277.43,1.692,2.17,2.69,13.87,2.916,0.827,6.79
1.946,0.0827,17.57,59.37,1.785,2.11,2.72,13.86,3.071,0.566,5.27
1.988,0.0561,22.84,304.40,1.877,2.10,2.8,12.86,5.079,0.566,84
1.934,0.1006,18.91,69.47,1.740,2.13,2.69,13.25,3.875,0.389,2.942
1.872,0.0808,24.12,322.87,1.721,2.02,2.56,13.86,4.693,0.245,38.143
1.921,0.1181,20.44,34.01,1.694,2.15,2.66,13.63,6.392,0.172,4.6283
1.936,0.0831,21.71,277.89,1.775,2.10,2.69,13.79,3.287,0.371,54.4
1.921,0.0772,21.35,225.24,1.773,2.07,2.66,13.89,2.093,1.000,2.7883
1.952,0.0677,20.21,314.25,1.820,2.08,2.73,13.71,,,3.2038
1.922,0.0835,26.73,186.22,1.762,2.08,2.67,13.37,5.850,0.193,4.33309
1.931,0.0920,26.12,268.04,1.753,2.11,2.68,13.27,9.316,0.141,5.815
1.862,0.0403,23.98,143.34,1.787,1.94,2.54,14.23,2.216,0.988,4.144
1.859,0.0705,19.44,239.93,1.728,1.99,2.53,14.01,4.818,0.332,2.5306
1.937,0.1089,16.91,105.69,1.726,2.15,2.7,13.74,3.207,0.569,69.2
1.926,0.0738,22.67,152.59,1.784,2.07,2.67,13.30,6.286,0.381,5.199
1.958,0.1394,21.97,106.62,1.685,2.23,2.74,13.69,2.839,0.957,6.21
1.932,0.0473,24.84,176.80,1.841,2.02,2.69,14.02,2.826,0.803,5.483
1.945,0.0599,23.71,108.12,1.829,2.06,2.71,14.10,1.777,1.000,3.6231
