"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
3.433,0.1141,3.57,103.43,3.042,3.82,6.36,6.90,237.26,0.0706,6.0814
3.414,0.1663,2.12,252.14,2.846,3.98,6.31,8.07,145.423,0.058,9.973
3.48,0.0940,10.88,263.93,3.153,3.81,6.49,7.00,253.051,0.046,5.184
3.488,0.0650,10.00,305.68,3.261,3.71,6.51,7.18,210.370,0.059,4.844
3.248,0.0574,4.22,210.23,3.061,3.43,5.85,8.05,75.498,0.148,14.256
3.454,0.1263,7.57,296.80,3.018,3.89,6.42,7.46,209.00,0.0482,5.55128
3.223,0.0307,1.64,321.05,3.124,3.32,5.79,7.71,70.676,0.297,10.685
3.977,0.1400,7.83,39.33,3.420,4.53,7.93,7.69,170.63,0.0618,5.9585
3.376,0.0745,4.67,175.74,3.124,3.63,6.2,8.12,145.366,0.056,47.009
3.991,0.1676,6.18,271.06,3.322,4.66,7.97,7.71,159,0.066,6.521
3.392,0.2631,20.85,103.81,2.500,4.28,6.25,8.84,95.934,0.062,7.3556
3.424,0.1377,2.08,309.30,2.952,3.90,6.34,9.31,105.912,0.035,6.6
3.447,0.1082,6.42,179.92,3.074,3.82,6.4,9.23,101.539,0.044,8.29
4.265,0.0437,2.33,26.66,4.079,4.45,8.81,8.55,126.59,0.0412,23.896
3.205,0.0579,0.73,324.10,3.019,3.39,5.74,9.82,67.373,0.052,6.8423
3.408,0.2160,10.56,227.79,2.672,4.14,6.29,10.23,49.943,0.085,430
3.215,0.1512,8.58,70.60,2.729,3.70,5.76,8.82,75.72,0.1068,6.737
3.889,0.0242,4.64,151.16,3.795,3.98,7.67,7.66,198.770,0.041,7.361
3.965,0.2108,12.61,68.34,3.129,4.80,7.89,8.45,154.334,0.038,13.835
3.223,0.0899,12.56,144.02,2.933,3.51,5.79,8.48,127.639,0.064,6.572
3.346,0.0317,5.96,300.89,3.239,3.45,6.12,9.30,87.803,0.052,6.049
3.507,0.0732,9.56,318.42,3.251,3.76,6.57,9.63,88.760,0.027,11.005
3.414,0.0290,6.69,234.85,3.315,3.51,6.31,8.36,138.699,0.044,11.04
3.201,0.0694,18.51,41.05,2.979,3.42,5.73,10.06,58.609,0.060,16.133
3.365,0.0936,19.01,253.47,3.050,3.68,6.17,8.48,95.495,0.092,8.834
3.426,0.0511,18.75,162.99,3.251,3.60,6.34,8.39,66.858,0.184,12.727
4.011,0.2169,2.09,174.82,3.141,4.88,8.03,9.48,77.328,0.052,13.48
3.628,0.0867,4.42,248.73,3.313,3.94,6.91,9.09,101.22,0.0388,8.129
3.397,0.0219,12.70,350.85,3.323,3.47,6.26,9.07,91.966,0.046,7.337
3.496,0.0874,19.43,295.73,3.191,3.80,6.54,8.16,147.066,0.048,8.791
3.201,0.1700,11.21,331.18,2.657,3.74,5.73,8.88,112.631,0.041,7.2
3.379,0.1202,4.89,299.75,2.973,3.79,6.21,8.19,167.381,0.039,12.103
3.42,0.1188,1.82,161.68,3.014,3.83,6.33,8.83,87.486,0.069,8.12
3.228,0.0872,3.67,338.65,2.946,3.51,5.8,10.33,48.204,0.082,9.47
3.213,0.0343,21.89,25.26,3.103,3.32,5.76,9.80,61.481,0.031,16.54
3.206,0.0638,17.83,280.00,3.002,3.41,5.74,7.96,90.647,0.145,11.801
3.359,0.0567,13.77,229.51,3.168,3.55,6.16,9.82,64.997,0.058,14.161
3.215,0.1393,7.07,88.44,2.767,3.66,5.76,9.91,28.916,0.213,32.6
3.384,0.1686,26.08,53.78,2.813,3.95,6.22,9.02,42.771,0.205,8.9933
3.399,0.1554,10.34,138.39,2.871,3.93,6.27,9.03,97.968,0.048,9.9143
3.553,0.1175,8.32,352.58,3.136,3.97,6.7,9.38,86.309,0.047,7.982
3.4,0.0583,20.29,189.29,3.202,3.60,6.27,9.24,98.493,0.044,11.374
3.267,0.0411,13.30,34.03,3.133,3.40,5.91,10.52,24.711,0.200,9.945
3.951,0.1889,2.26,177.68,3.205,4.70,7.85,9.03,103.714,0.041,11.903
3.221,0.1146,12.90,264.54,2.852,3.59,5.78,9.83,71.749,0.042,12.838
3.222,0.1191,19.15,155.62,2.838,3.61,5.78,9.55,72.927,0.048,19.04
3.413,0.1541,20.51,38.61,2.887,3.94,6.31,8.12,170.37,0.0384,10.37
3.205,0.0805,14.21,121.45,2.947,3.46,5.74,10.20,83.103,0.023,16.852
3.211,0.0656,3.80,91.00,3.000,3.42,5.75,9.24,41.328,0.215,39
3.221,0.0880,3.70,67.36,2.938,3.50,5.78,11.56,30.418,0.025,
3.238,0.1165,14.50,352.81,2.861,3.62,5.83,10.69,43.576,0.051,18.716
3.204,0.0695,8.78,353.61,2.982,3.43,5.74,9.75,42.154,0.173,6.7859
3.226,0.1099,13.50,21.86,2.872,3.58,5.79,9.76,65.417,0.031,23.2
3.228,0.1046,21.33,286.12,2.890,3.57,5.8,9.76,74.481,0.055,16.695
3.203,0.1442,26.07,177.56,2.741,3.66,5.73,8.45,109.568,0.071,9.347
3.237,0.0459,11.78,233.98,3.088,3.39,5.82,10.13,58.065,0.054,19.72
3.542,0.0912,18.80,232.51,3.219,3.86,6.67,8.81,116.44,0.0343,8.7155
3.221,0.0911,14.64,172.32,2.928,3.51,5.78,9.29,75.892,0.046,12.986
3.368,0.1700,6.24,283.76,2.796,3.94,6.18,9.32,79.852,0.041,15.57
3.988,0.1838,5.63,92.67,3.255,4.72,7.96,10.40,45.112,0.045,16.543
