"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
5.209,0.1480,10.32,133.50,4.438,5.98,11.9,8.27,130.099,0.043,7.306
5.211,0.1397,22.06,308.08,4.483,5.94,11.9,8.23,140.362,0.047,102.8
5.267,0.0226,18.16,181.56,5.148,5.39,12.1,7.46,225,0.025,6.924
5.166,0.1172,4.52,343.85,4.561,5.77,11.7,8.73,112.320,0.035,15.98
5.191,0.1247,8.91,335.88,4.544,5.84,11.8,8.73,101.093,0.044,6.8605
5.28,0.0672,21.76,81.04,4.925,5.64,12.1,8.00,131.038,0.072,6.592
5.731,0.6609,42.57,56.54,1.943,9.52,13.7,10.67,38.,0.06,10.063
5.241,0.0917,3.14,237.02,4.761,5.72,12,8.42,114.624,0.050,10.114
5.225,0.1061,16.66,50.81,4.671,5.78,11.9,8.33,118.020,0.059,8.705
5.283,0.1393,6.92,41.07,4.547,6.02,12.1,8.89,99.549,0.050,11.595
5.253,0.0925,33.54,295.44,4.767,5.74,12,8.99,100.477,0.041,56.17
5.287,0.1142,18.03,61.41,4.683,5.89,12.2,9.38,83.990,0.048,29.411
5.212,0.0450,20.48,128.68,4.978,5.45,11.9,8.27,117.786,0.061,24.49
5.14,0.0536,28.50,186.83,4.865,5.42,11.7,8.61,108.842,0.054,15.759
5.211,0.0215,5.65,294.01,5.098,5.32,11.9,10.53,42.716,0.056,17.74
5.144,0.1091,6.10,113.36,4.582,5.70,11.7,9.52,64.898,0.073,16.975
5.133,0.0461,26.91,359.95,4.896,5.37,11.6,8.43,118.220,0.060,58.66
5.311,0.1103,16.75,170.96,4.726,5.90,12.2,9.60,68.163,0.055,10.492
5.188,0.0679,3.97,326.34,4.835,5.54,11.8,11.15,22.655,0.104,
5.243,0.0338,6.58,130.92,5.066,5.42,12,10.73,47.649,0.049,5.986
5.232,0.0350,8.61,165.57,5.049,5.42,12,11.27,27.828,0.076,6.52
5.322,0.0495,14.64,115.13,5.058,5.59,12.3,10.86,34.046,0.067,
5.228,0.0916,21.88,358.08,4.749,5.71,12,10.21,50.799,0.062,20.6
13.71,0.3766,6.92,339.62,8.544,18.87,50.7,5.71,166,0.15,5.918
5.19,0.1022,39.29,274.25,4.659,5.72,11.8,10.03,50.755,0.082,16.4
5.217,0.0584,9.15,232.24,4.913,5.52,11.9,10.88,37.980,0.064,
5.165,0.0129,6.80,307.61,5.099,5.23,11.7,8.96,97.658,0.051,7.9647
5.253,0.0190,15.94,52.82,5.153,5.35,12,9.24,77.480,0.051,22.741
5.178,0.0664,16.63,293.05,4.835,5.52,11.8,8.62,113.682,0.048,7.689
5.198,0.0451,17.78,321.35,4.963,5.43,11.9,9.46,76.435,0.057,8.18
5.221,0.0474,2.67,76.06,4.974,5.47,11.9,9.07,94.625,0.052,14.449
5.224,0.0392,32.09,54.49,5.019,5.43,11.9,8.99,95.976,0.044,20.099
5.13,0.0753,13.91,95.34,4.744,5.52,11.6,9.40,65.916,0.071,7.24
5.058,0.0860,5.54,280.24,4.623,5.49,11.4,11.88,25.874,0.060,25.954
5.194,0.0700,1.85,41.89,4.830,5.56,11.8,9.20,74.267,0.067,8.48
5.193,0.0648,21.94,8.18,4.857,5.53,11.8,10.12,53.676,0.067,479
5.109,0.0883,22.39,48.11,4.658,5.56,11.5,8.94,89.430,0.073,10.145
5.143,0.0774,14.67,172.85,4.745,5.54,11.7,9.11,86.884,0.048,8.945
5.244,0.0488,27.21,274.98,4.988,5.50,12,10.13,56.706,0.060,7.516
5.112,0.0278,21.12,197.09,4.970,5.25,11.6,8.91,88.574,0.068,10.212
5.218,0.0587,12.16,203.91,4.911,5.52,11.9,8.65,111.655,0.056,8.64
5.225,0.1284,2.34,16.01,4.554,5.90,11.9,10.30,51.695,0.060,11.312
5.223,0.1284,27.87,150.42,4.552,5.89,11.9,8.53,118.790,0.055,7.0812
5.298,0.0839,14.88,103.63,4.854,5.74,12.2,10.45,37.862,0.093,8.135
5.158,0.0726,24.64,130.27,4.784,5.53,11.7,8.49,126.288,0.044,7.702
5.282,0.1168,23.28,115.88,4.665,5.90,12.1,9.48,70.225,0.062,8.945
5.202,0.0903,8.06,27.20,4.733,5.67,11.9,9.85,63.885,0.052,8.711
5.202,0.0383,15.51,203.19,5.002,5.40,11.9,9.54,73.730,0.062,40.59
5.178,0.0745,23.52,66.14,4.792,5.56,11.8,9.21,87.380,0.048,12.96
5.212,0.1594,13.37,57.70,4.381,6.04,11.9,9.38,75.661,0.059,6.553
5.23,0.0626,19.64,247.45,4.903,5.56,12,9.15,65.297,0.087,10.039
5.221,0.0901,20.90,262.24,4.751,5.69,11.9,8.86,112.046,0.042,5.621
5.205,0.1472,6.06,36.14,4.439,5.97,11.9,10.56,34.531,0.112,12.877
5.325,0.0241,28.49,205.85,5.196,5.45,12.3,11.15,34.285,0.066,20.27
5.182,0.0570,11.00,77.04,4.887,5.48,11.8,10.42,45.515,0.065,6.391
5.281,0.0577,12.13,198.34,4.976,5.59,12.1,9.63,68.733,0.054,13.467
5.249,0.1205,2.87,59.91,4.617,5.88,12,10.28,45.683,0.077,29.82
5.242,0.1559,16.17,307.52,4.424,6.06,12,9.51,84.043,0.043,9.298
5.187,0.1194,18.94,318.50,4.568,5.81,11.8,8.83,95.619,0.070,8.846
5.143,0.0743,17.57,316.38,4.761,5.52,11.7,9.72,67.625,0.061,14.4
5.268,0.1222,21.69,356.70,4.624,5.91,12.1,9.21,85.495,0.050,10.43
5.17,0.0447,2.10,165.64,4.938,5.40,11.8,10.15,46.462,0.082,29.2
5.237,0.0980,7.96,159.67,4.724,5.75,12,9.68,82.032,0.033,9.908
5.199,0.0619,22.23,7.86,4.877,5.52,11.9,9.20,76.595,0.069,12.582
5.218,0.0539,8.30,179.62,4.937,5.50,11.9,10.58,45.524,0.065,6.941
5.135,0.0973,14.71,84.80,4.635,5.63,11.6,9.85,63.836,0.057,38.866
5.196,0.1219,7.09,66.23,4.562,5.83,11.8,10.64,37.766,0.086,6.862
5.247,0.0607,6.99,103.04,4.929,5.57,12,10.03,54.964,0.064,7.517
5.266,0.0228,25.42,76.74,5.145,5.39,12.1,8.75,91.433,0.077,12.275
5.111,0.0502,18.66,344.18,4.854,5.37,11.6,9.84,62.097,0.060,8.8129
5.204,0.1120,8.82,315.17,4.621,5.79,11.9,10.18,50.378,0.076,18.438
5.27,0.0098,12.31,175.13,5.218,5.32,12.1,10.13,53.025,0.063,27.68
5.159,0.0454,25.97,163.84,4.925,5.39,11.7,10.13,49.528,0.079,9.696
5.253,0.0924,9.34,283.61,4.768,5.74,12,10.25,50.870,0.068,40.09
5.201,0.0916,12.02,90.02,4.725,5.68,11.9,10.11,57.647,0.058,12.372
5.131,0.0433,7.70,168.21,4.908,5.35,11.6,10.58,42.770,0.067,18.995
5.164,0.0411,14.90,129.59,4.952,5.38,11.7,10.48,45.954,0.063,12.873
5.178,0.0495,8.59,118.99,4.921,5.43,11.8,11.25,32.220,0.068,
5.263,0.1414,19.06,209.67,4.519,6.01,12.1,10.08,52.058,0.071,5.319
5.231,0.0930,34.73,281.26,4.744,5.72,12,9.07,80.165,0.076,14.25
5.207,0.1378,28.46,352.58,4.490,5.93,11.9,9.26,72.331,0.085,18.192
5.197,0.2520,19.57,355.22,3.887,6.51,11.8,10.70,30.175,0.112,
5.214,0.1086,19.40,33.91,4.647,5.78,11.9,9.62,63.277,0.070,9.818
5.17,0.0193,27.16,280.60,5.070,5.27,11.8,9.94,57.251,0.071,11.235
