"diameter","rot_per","epoch.mjd","a","e","i","om","w","ma","H","albedo"
167.536,4.1483,59600,2.91,0.0984,13.70,65.99,357.60,33.48,6.63,0.166
267.080,5.53,59600,3.164,0.2179,26.28,30.87,61.56,262.86,6.86,0.053
205.495,5.988,59600,2.761,0.2746,15.79,178.06,45.92,349.11,7.52,0.059
202.327,5.699,59600,2.721,0.0836,6.61,147.59,87.66,258.63,7.68,0.045
253.051,5.184,59600,3.48,0.0940,10.88,73.01,263.93,244.12,7.00,0.046
115.974,16.509,59600,3.147,0.1668,2.21,69.95,245.17,321.32,8.22,0.058
154.155,5.982,59600,2.755,0.1389,8.56,4.02,275.17,332.17,7.92,0.056
210.370,4.844,59600,3.488,0.0650,10.00,172.59,305.68,118.56,7.18,0.059
209.00,5.55128,59600,3.454,0.1263,7.57,72.88,296.80,13.21,7.46,0.0482
180.652,5.225,59600,3.127,0.2093,22.78,145.01,237.62,124.07,7.33,0.086
122,5.385,59600,2.793,0.2514,13.12,215.34,179.89,282.10,7.06,0.1164
32,4.634,59600,2.862,0.0438,1.13,323.63,113.94,83.13,9.98,0.262
132.385,6.896,59600,3.05,0.1444,7.99,303.90,55.49,135.64,8.70,0.023
18.648,8.169,59600,2.286,0.0852,1.77,151.34,187.15,249.18,9.86,0.926
84.787,14.141,59600,3.143,0.1799,1.67,171.86,180.72,119.24,9.03,0.046
140.362,102.8,59600,5.211,0.1397,22.06,44.35,308.08,286.55,8.23,0.047
225,6.924,59600,5.267,0.0226,18.16,342.78,181.56,254.22,7.46,0.025
190.980,16.7072,59600,3.195,0.0165,20.60,289.74,353.26,224.15,7.43,0.061
147.343,5.839,59600,3.154,0.1067,13.10,305.55,188.78,341.41,8.28,0.040
9.450,15.4142,59600,2.283,0.1924,7.15,154.51,196.48,287.86,12.24,0.379
7.839,37.56,59600,2.369,0.1734,6.09,190.56,84.33,309.29,12.04,0.415
10.390,2.9173,59600,2.247,0.1770,2.58,327.05,6.09,54.27,12.03,0.228
9.539,5.92951,59600,2.22,0.1278,6.04,8.82,52.97,293.40,11.95,0.308
9.785,2.7097,59600,2.236,0.1438,4.70,99.57,297.68,291.05,11.97,0.301
13.082,16.44,59600,2.213,0.1279,3.73,71.47,354.61,201.19,11.67,0.216
,27.446,59600,1.948,0.2554,13.09,213.30,206.67,331.01,12.61,
13.504,25.46,59600,2.657,0.2062,12.55,298.12,100.16,108.76,11.65,0.185
7.470,3.85453,59600,2.263,0.1130,4.82,325.54,110.70,205.86,12.71,0.251
6.573,4.4121,59600,1.897,0.0280,23.67,7.06,254.66,316.55,12.55,0.409
6.385,5.16,59600,2.202,0.1086,4.86,63.59,65.53,265.33,13.14,0.257
8.17,3.25283,59600,1.866,0.0321,22.32,283.51,267.86,123.60,12.59,0.2327
5.318,2.9341,59600,2.316,0.1869,6.21,336.88,72.92,109.36,13.26,0.328
15.140,3.42,59600,2.364,0.2732,25.31,279.48,149.29,84.30,11.20,0.486
8.484,5.1484,59600,2.196,0.1286,6.19,340.42,116.44,348.23,12.29,0.287
,2.98109,59600,1.854,0.1019,22.90,133.01,313.01,227.48,12.69,
10.614,2.88036,59600,2.458,0.0610,5.29,21.90,39.21,252.53,12.11,0.207
6.631,3.506,59600,2.199,0.1226,6.19,44.25,4.14,259.86,13.03,0.294
9.934,2.73364,59600,2.349,0.2472,21.55,337.24,253.99,34.40,12.23,0.259
7.710,2.56999,59600,2.188,0.0559,3.96,147.44,336.16,286.16,12.60,0.274
1.5,3.065,59600,1.471,0.5600,6.35,35.57,286.04,60.20,16.11,0.25
8.48,2.4,59600,1.893,0.5384,41.21,63.47,293.08,331.15,12.44,0.15
4.625,3.1183,59600,2.324,0.1927,4.91,0.87,24.85,218.62,13.09,0.354
7.865,2.7294,59600,2.241,0.1649,4.04,252.17,25.01,331.70,12.44,0.496
6.66,3.6898,59600,2.379,0.3453,23.97,53.62,50.41,122.86,13.19,0.1907
3.131,2.497,59600,1.872,0.0033,25.28,36.59,310.09,269.84,14.10,0.544
4.570,3.1883,59600,2.25,0.1551,2.75,1.22,350.12,9.50,13.50,0.405
8.736,2.9064,59600,2.184,0.1781,4.38,145.69,160.33,223.66,12.44,0.308
8.252,2.5678,59600,1.887,0.1113,33.99,306.03,38.56,326.32,12.69,0.244
8.035,3.1716,59600,2.255,0.1666,7.52,102.05,180.07,144.54,12.81,0.108
4.313,3.0183,59600,2.208,0.1548,3.07,11.39,350.82,17.91,13.76,0.415
5.833,2.7979,59600,2.208,0.1170,2.54,343.84,96.05,314.33,13.47,0.157
8.013,2.53163,59600,2.595,0.1680,14.35,37.20,26.83,269.78,12.20,0.436
5.197,2.10659,59600,2.334,0.2553,1.77,218.06,155.54,280.92,13.42,0.376
,3.8492,59600,1.909,0.1685,24.99,179.84,102.26,136.54,14.04,
9.238,25.885,59600,2.226,0.0683,4.14,228.76,233.24,218.92,12.24,0.252
7.883,4.4518,59600,2.268,0.0808,8.41,359.91,101.38,148.66,12.56,0.268
3.259,4.0852,59600,1.878,0.0541,22.87,125.29,357.87,206.89,13.54,0.561
